Vocabulario Normalizado,Descripción del Atributo,Dominio de Vocabulario
Advisor,Director de trabajo de grado tesis de maestría/doctorado,redcol
AudiovisualDesigner,Diseñador Audiovisual,redcol
AudiovisualDirector,Director Audiovisual,redcol
ContactPerson,Persona de contacto,datacite
ContentProvider,Proveedor de Contenidos,redcol/lom
DataCollector,Recolector de datos,datacite
DataCurator,Curador de datos,datacite
DataManager,Administrador de datos,datacite
Distributor,Distribuidor,datacite
Editor / Compilator,Editor - Compilador,datacite/redcol/lom
EducationalValidator,,redcol
ExecutiveProducer,Productor Ejecutivo,redcol
HostingInstitution,Institución anfitriona,datacite
Financer,Financista,redcol
GraphicalDesigner,Diseñador Gráfico,redcol/lom
Illustrator,Ilustrador,redcol
Initiator,Iniciador,redcol/lom
InstructionalDesigner,Diseñador Instruccional,redcol/lom
Photographer,Fotografo,redcol
Producer,Productor,datacite
ProjectLeader,Lider de Proyecto,datacite
ProjectManager,Jefe de Proyecto,datacite
ProjectMember,Miembro de Proyecto,datacite
Referee,Par Evaluador,redcol
RegistrationAgency,Agencia de registro,datacite
RegistrationAuthority,Autoridad de registro,datacite
RelatedPerson,Persona Relacionada,datacite
Researcher,Investigador,datacite
ResearchGroup,Grupo de investigación,datacite
RightsHolder,Titular de derechos,datacite
ScriptWriter,Guionista,redcol/lom
SoftwareDeveloper,Desarrollador - Programador - Integrador de software -,redcol
Sponsor,Patrocinador,datacite
SubjectMatterExpert,experto en la materia,redcol/lom
Supervisor,Supervisor,datacite
TechnicalImplementer,Implementador técnico,redcol/lom
TechnicalValidator,Validador Técnico,redcol/lom
Terminator,Terminador / Corrector de Pruebas,redcol/lom
Translator,Traductor,redcol
Validator,Validador,redcol/lom
WebDeveloper,Desarrollador Web,redcol
WorkPackageLeader,Líder de paquete de trabajo,datacite
Other,Otros,datacite
